price,price_fluctuation,name,description
17.46,-3.48,TIMS3,TIM         ON      NM
52.9,-2.09,VIVT3,TELEF BRASILON
13.32,-1.99,CCRO3,CCR SA      ON      NM
23.47,-1.76,RAIL3,RUMO S.A.   ON      NM
57.7,-1.13,BBAS3,BRASIL      ON      NM
